TAXON,FAD,LAD
Cambaytherium_bidens,56,47.8
Cambaytherium_thewissi,56,47.8
Cantius_abditus,55.8,48.6
Cantius_trigonodus,55.8,48.6
Carcinodon_simplex,66,64.6
Carodnia_vieirai,58.7,48.6
Carpolestes_simpsoni,58.7,55.8
Centetodon_chadronensis,40.4,33.3
Ceruttia_sandiegoensis,46.2,40.4
Chadronia_margaretae,37.2,33.9
Chiromyoides_campanicus,59.2,56
Chronolestes_simul,55.8,48.6
Claenodon_montanensis,64.6,56.8
Cocomys_lingchaensis,55.8,48.6
Colbertia_magellanica,55,50
Conoryctes_comma,64.6,61.7
Coriphagus_encinensis,64.6,61.7
Coriphagus_montanus,64.6,61.7
Coryphodon_lobatus,55.8,48.6
Cronopio_dentiacutus,99.6,93.5
Crusafontia_cuencana,130,125.45
Cylindrodon_fontis,37.2,33.9
Deltatheridium_pretrituberculare,76,70
Deltatherium_fundaminis,64.6,61.7
Didelphodon_coyi,70.6,66
Didelphodon_vorax,72.1,66
Didymictis_dellensis,61.7,46.2
Diplacodon_elatus,46.2,40.4
Diplobunops_matthewi,46.2,33.9
Dipsalidictis_platypus,56.8,48.6
Dissacus_praenuntius,61.7,47.8
Dissacus_raslanloubatieri,56,47.8
Dissacus_rougierae,56,47.8
Dolichorhinus_hyognathus,46.2,40.4
Douglassciurus_jeffersoni,37.2,33.9
Dryolestes_leiriensis,157.3,152.1
Dryomomys_szalayi,58.7,55.8
Duchesneodus_uintensis,40.4,37.2
Echinolestes_quercyi,37.2,33.9
Ectocion_cedrus,61.7,55.8
Ectoconus_ditrigonus,66,64.6
Elphidotarsius_florencae,64.6,61.7
Embolotherium_andrewsi,37.2,33.9
Embolotherium_grangeri,37.2,28.4
Eoastrapostylops_riolorense,50.3,47.8
Eoconodon_coryphaeus,66,64.6
Eodelphis_browni,78,72.1
Eomaia_scansoria,125.5,122.5
Eosigale_gujingensis,61.7,58.7
Eotitanops_borealis,55.8,46.2
Eotylopus_reedi,40.4,33.9
Epidolops_ameghinoi,58.7,50.3
Eppsinycteris_anglica,56,47.8
Erlikotherium_edentatum,48.6,37.2
Ernanodon_antelios,61.7,55.8
Eubrontotherium_clarnoensis,40.4,37.2
Eumys_elegans,37.2,26.3
Exmus_mini,55.8,48.6
Gazinocyon_vulpeculus,55.8,50.3
Gervachoerus_jaegeri,48.6,40.4
Gnathotitan_berkeyi,48.6,37.2
Gobiatherium_mirificum,55.8,37.2
Gomphos_elkema,55.8,48.6
Griphotherion_peiranoi,47.8,41.3
Hapalodectes_hetangensis,55.8,48.6
Haplobunodon_muelleri,47.8,38
Haplolambda_quinni,58.7,55.8
Harpagolestes_uintensis,46.2,37.2
Hassianycteris_messelensis,52,47.8
Heishanlestes_changi,120,110
Heliscomys_ostranderi,37.2,33.9
Hemipsalodon_grandis,40.4,33.9
Henkelotherium_guimarotae,157.3,152.1
Heptodon_posticus,55.8,46.2
Hesperocyon_gregarius,38,33.9
Hipposideros_major,38,30.9
Hipposideros_schlosseri,41.3,28.1
Hyaenodon_crucians,40.4,33.3
Hyaenodon_horridus,37.2,30.8
Hyaenodon_mustelinus,37.2,33.9
Hyopsodus_wortmani,55.8,46.2
Hypertragulus_calcaratus,37.2,20.43
Hypisodus_minimus,37.2,30.8
Hyrachyus_douglassi,50.3,46.2
Hyrachyus_modestus,55.8,40.4
Hyracodon_priscidens,37.2,33.9
Icaronycteris_menui,56,47.8
Icaronycteris_sigei,56,47.8
Ignacius_graybullianus,58.7,48.6
Indohyaenodon_raoi,56,50.3
Ischyromys_typus,37.2,30.8
Ischyromys_veterior,37.2,33.3
Juramaia_sinensis,163.5,157.3
Kennalestes_gobiensis,76,71
Kennatherium_shirense,48.6,37.2
Kiyatherium_cardiodens,129.4,122
Kopidodon_macrognathus,48.6,46
Krebsotherium_lusitanicum,157.3,152.1
Kulbeckia_kulbecke,93.9,83.5
Labidolemur_kayi,61.7,50.3
Lactodens_sheni,125,113
Lambdotherium_popoagicum,55.8,46.2
Laolestes_eminens,157.3,145
Lapichiropteryx_xiei,48.6,37.2
Leptadapis_magnus,41.3,33.9
Leptictidium_nasutum,48.6,46
Leptictis_dakotensis,37.2,30.8
Leptolambda_churchilli,61.7,55.8
Leptomeryx_evansi,37.2,30.8
Leptoreodon_marshi,46.2,40.4
Limnocyon_medius,50.3,46.2
Limnocyon_velox,50.3,40.4
Limnocyon_verus,50.3,46.2
Litocherus_notissimus,61.7,56.8
Litolestes_ignotus,61.7,55.8
Litolophus_gobiensis,55.8,48.6
Lophialetes_expeditus,48.6,37.2
Lotheridium_mengi,70.6,66
Loxolophus_hyattianus,66,64.6
Lycophocyon_hutchisoni,46.2,37.2
Machaeroides_eothen,50.3,46.2
Maelestes_gobiensis,76,71
Mahgarita_stevensi,46.2,37.2
Maiorana_noctiluca,66,64.6
Maotherium_asiaticus,127,123.5
Maotherium_sinense,126,123
Marcgodinotius_indicus,56,50.3
Mayulestes_ferox,66,64.6
Megacerops_bicornutus,37.2,33.9
Megacerops_coloradensis,37.2,33.9
Megacerops_marshi,37.2,33.9
Megacerops_robustus,37.2,33.9
Megadelphus_lundeliusi,55.8,46.2
Meniscotherium_chamense,55.8,50.3
Merycoidodon_culbertsoni,37.2,30.3
Mesatirhinus_junius,46.2,40.4
Mesatirhinus_megarhinus,50.3,46.2
Messelobunodon_ceciliensis,47.8,41.3
Metarhinus_fluviatilis,46.2,40.4
Metatelmatherium_cristatum,48.6,37.2
Metatelmatherium_ultimum,46.2,40.4
Metatitan_primus,37.2,33.9
Metatitan_relictus,37.2,33.9
Miacis_sylvestris,46.2,40.4
Midiagnus_gracilis,55.8,48.6
Miguelsoria_parayirunhor,55,50
Mimatuta_minuial,66,64.6
Miniconus_jeanninae,66,64.6
Mixopteryx_weithoferi,36,31
Moeritherium_lyonsi,41.3,28.1
Mongolotherium_plantigradum,55.8,48.6
Montanalestes_keeblerorum,113,100.5
Mozomus_shikamai,122.46,109
Nanodelphys_hunti,46.2,33.3
Navajovius_kohlhaasae,61.7,56.8
Notharctus_tenebrosus,50.3,40.4
Notharctus_venticolus,55.8,46.2
Notoparamys_costilloi,55.8,50.3
Notopithecus_adapinus,55.8,37.2
Notostylops_murinus,55.8,37.2
Notostylops_pendens,48.6,37.2
Oligoryctes_altitalonidus,46.2,33.3
Oligoryctes_cameronensis,40.4,33.9
Onychodectes_tisonensis,66,64.6
Onychonycteris_finneyi,55.8,50.3
Origolestes_lii,127,123.5
Oxyaena_forcipata,55.8,48.6
Oxyaena_gulo,56,47.8
Oxyaena_lupina,55.8,50.3
Oxyaenodon_dysodus,46.2,40.4
Pachyaena_gigantea,56,47.8
Pachyaena_gracilis,56,47.8
Pachyaena_ossifraga,56,47.8
Palaeochiropteryx_tupaiodon,48.6,46
Palaeolagus_haydeni,37.2,20.43
Palaeonictis_occidentalis,56.8,48.6
Palaeonictis_peloria,56.8,55.8
Palaeonictis_wingi,55.8,50.3
Palaeophyllophora_parva,38,30.9
Palaeophyllophora_quercyi,41.3,28.4
Palaeophyllophora_rosierensis,38,30.9
Palaeosinopa_didelphoides,61.7,48.6
Palaeosinopa_veterrima,55.8,48.6
Palaeostylops_macrodon,58.7,55.8
Palaeosyops_paludosus,50.3,46.2
Palaeosyops_robustus,50.3,46.2
Palaeotherium_duvali,41.3,33.9
Palaeotherium_magnum,41.3,33.9
