Original_Node_Name,Taxon_1,Taxon_2,Min_Date
Dissacus_praenuntius,Dissacus_argenteus,Dissacus_blayaci,66
Dissacus_raslanloubatieri,Dissacus_argenteus,Dissacus_blayaci,66
Dissacus_rougierae,Dissacus_argenteus,Dissacus_blayaci,66
Pachyaena_gigantea,Pachyaena_gigantea,Pachyaena_gracilis,61.7
Pachyaena_gracilis,Pachyaena_gigantea,Pachyaena_gracilis,61.7
Pachyaena_ossifraga,Pachyaena_gigantea,Pachyaena_gracilis,61.7
Hapalodectes_hetangensis,Hapalodectes_anthracinus,Hapalodectes_auctus,61.7
Eoconodon_coryphaeus,Eoconodon_copanus,Eoconodon_coryphaeus,64.6
Leptictis_dakotensis,Leptictis_acutidens,Leptictis_bullatus,40.4
Prodiacodon_paucus,Prodiacodon_concordiarcensis,Prodiacodon_crustulum,66
Prodiacodon_tauricinerei,Prodiacodon_concordiarcensis,Prodiacodon_crustulum,66
Apatemys_uintensis,Apatemys_bellulus,Apatemys_bellus,56
Prolimnocyon_atavus,Prolimnocyon_antiquus,Prolimnocyon_atavus,58.7
Zalambdalestes_lechei,Zalambdalestes_grangeri,Zalambdalestes_lechei,76
Prokennalestes_sp.,Prokennalestes_minor,Prokennalestes_trofimovi,120
Alphadon_eatoni,Alphadon_attaragos,Alphadon_eatoni,86.3
Alphadon_halleyi,Alphadon_attaragos,Alphadon_eatoni,86.3
Didelphodon_coyi,Didelphodon_coyi,Didelphodon_vorax,72.1
Didelphodon_vorax,Didelphodon_coyi,Didelphodon_vorax,72.1
Eodelphis_browni,Eodelphis_browni,Eodelphis_cutleri,85.8
Amphiperatherium_maximum,Amphiperatherium_ambiguum,Amphiperatherium_exile,56
Peratherium_perrierense,Peratherium_cuvieri,Peratherium_elegans,56
Deltatheridium_pretrituberculare,Deltatheridium_nessovi,Deltatheridium_pretrituberculare,83.5
Amblotherium_pusillum,Amblotherium_gracilis,Amblotherium_nanum,157.3
Laolestes_eminens,Laolestes_eminens,Laolestes_goodrichi,161.2
Dryolestes_leiriensis,Dryolestes_leirensis,Dryolestes_priscus,157.3
Peramus_tenuirostris,Peramus_dubius,Peramus_minor,145
Spalacotherium_tricuspidens,Spalacotherium_evansae,Spalacotherium_henkeli,145
Amphitherium_prevostii,Amphitherium_prevostii,Amphitherium_rixoni,167.7
Maotherium_asiaticus,Maotherium_asiaticus,Maotherium_sinensis,127
Maotherium_sinense,Maotherium_asiaticus,Maotherium_sinensis,126
Elphidotarsius_florencae,Elphidotarsius_florencae,Elphidotarsius_russelli,64.6
Carpolestes_simpsoni,Carpolestes_dubius,Carpolestes_simpsoni,61.7
Plesiadapis_cookei,Plesiadapis_cookei,Plesiadapis_rex,61.7
Plesiadapis_fodinatus,Plesiadapis_cookei,Plesiadapis_rex,61.7
Plesiadapis_rex,Plesiadapis_cookei,Plesiadapis_rex,61.7
Plesiadapis_tricuspidens,Plesiadapis_cookei,Plesiadapis_rex,61.7
Saxonella_crepaturae,Saxonella_crepaturae,Saxonella_naylori,61.7
Cantius_abditus,Cantius_abditus,Cantius_actius,56
Cantius_trigonodus,Cantius_abditus,Cantius_actius,56
Notharctus_tenebrosus,Notharctus_robustior,Notharctus_tenebrosus,55.8
Notharctus_venticolus,Notharctus_robustior,Notharctus_tenebrosus,55.8
Leptadapis_magnus,Leptadapis_leenhardti,Leptadapis_magnus,41.3
Ignacius_graybullianus,Ignacius_clarkforkensis,Ignacius_graybullianus,64.6
Phenacolemur_pagei,Phenacolemur_praecox,Phenacolemur_simonsi,61.7
Paromomys_depressidens,Paromomys_depressidens,Paromomys_maturus,64.6
Dryomomys_szalayi,Dryomomys_szalayi,Dryomomys_willwoodensis,61.7
Notostylops_murinus,Notostylops_murinus,Notostylops_pendens,56
Notostylops_pendens,Notostylops_murinus,Notostylops_pendens,56
Colbertia_magellanica,Colbertia_lumbrerense,Colbertia_magellanica,55
Tinodon_bellus,Tinodon_bellus,Tinodon_micron,161.2
