Taxon,FAD,LAD
Coriphagus_encinensis,64.6,61.7
Coriphagus_montanus,64.6,61.7
Coryphodon_lobatus,55.8,48.6
Coryphodon_ventanus,55.8,48.6
Cotylorhynchus_bransoni,272.95,268.8
Cotylorhynchus_hancocki,272.95,268.8
Cotylorhynchus_hancoki,272.95,268.8
Cotylorhynchus_romeri,283.5,272.95
Counillonia_superoculis,252.3,247.2
Cronopio_dentiacutus,99.6,93.5
Crusafontia_cuencana,130,125.45
Cylindrodon_fontis,37.2,33.9
Cynosaurus_suppostus,252,252
Cyonosaurus_longiceps,259,254
Cyonosaurus_rubidgei,259,252.3
Dadadon_isaloi,242,227
Dapeocephalus_leoniceps,259.1,251.902
Daphoenus_vetus,33.9,33.3
Daptocephalus_leoniceps,259.1,251.902
Daqingshanodon_limbus,254.14,251.902
Datheosaurus_macrourus,303.7,298.9
Datheosaurus_macrous,303.7,298.9
Daulestes_nessovi,93.9,89.3
Delectosaurus_arefjevi,254.14,251.902
Delectosaurus_berezhanensis,254.14,251.902
Delphinognathus_conocephalus,265.1,259.1
Deltatheridium_pretrituberculare,76,70
Deltatherium_fundaminis,64.6,61.7
Dendromaia_unamakiensis,314.6,306.95
Diademodon_tetragonus,251.2,237
Dianzhongia_longirostrata,199.3,182.7
Diarthognathus_broomi,201.3,190.8
Diarthrognathus_broomi,201.3,190.8
Dicynodon_angielczyki,259,252
Dicynodon_huenei,259.1,251.902
Dicynodon_huenie,259.1,251.902
Dicynodon_lacerticeps,259.1,251.902
Dicynodontoides_nowacki,259,254
Didelphodon_coyi,70.6,66
Didelphodon_vorax,72.1,66
Didymictis_dellensis,61.7,46.2
Dillerlemur_pagei,61.7,55.8
Dinictis_squalidens,33.9,33.3
Dinodontosaurus_pedroanum,242,227
Dinogorgon_rubidgei,259.1,251.902
Dinosaurus_murchisoni,268,265
Diplobunops_matthewi,46.2,33.9
Diploclonus_bicornutus,37.2,33.9
Dipsalidictis_platypus,56.8,48.6
Dissacus_praenuntius,61.7,47.8
Dissacus_raslanloubatieri,56,47.8
Dissacus_rougierae,56,47.8
Dolichorhinus_hyognathus,46.2,40.4
Dolichuranus_primaevus,247.2,242
Dorudon_atrox,41.3,33.9
Douglassciurus_jeffersoni,37.2,33.9
Drepanodon_primaevus,33.9,33.3
Dryolestes_leirensis,157.3,152.1
Dryolestes_leiriensis,157.3,152.1
Dryomomys_szalayi,58.7,55.8
Duchesneodus_uintensis,40.4,37.2
Dvinia_prima,259.1,251.902
Echinerpetodon_intermedium,315.2,307
Echinerpeton_intermedium,315.2,307
Echinolestes_quercyi,37.2,33.9
Ecteninion_lunensis,237,227
Ectocion_cedrus,61.7,55.8
Ectoconus_ditrigonus,66,64.6
Edaphosaurus_boanerges,295,272.95
Edaphosaurus_colohistion,303.7,298.9
Elotherium_clavum,37.2,33.3
Embolotherium_andrewsi,37.2,33.9
Eoastrapostylops_riolorense,50.3,47.8
Eoconodon_coryphaeus,66,64.6
Eoconodon_heilprinianus,66,64.6
Eodelphis_browni,78,72.1
Eomaia_scansoria,125.5,122.5
Eosigale_gujingensis,61.7,58.7
Eotitanops_borealis,55.8,46.2
Eotylopus_reedi,40.4,33.9
Epidolops_ameghinoi,58.7,50.3
Eppsinycteris_anglica,56,47.8
Erlikotherium_edentatum,48.6,37.2
Ernanodon_antelios,61.7,55.8
Ernestokokenia_parayirunhor,55,50
Estemmenosuchus_uralensis,268.8,265.1
Eubrachiosaurus_browni,227,208.5
Euchambersia_mirabilis,255,255
Eumys_elegans,37.2,26.3
Euptychognathus_bathyrhynchus,259.1,251.902
Euromycter_rutena,283.5,272.95
Euromycter_rutenus,283.5,272.95
Eusmilus_dakotensis,33.9,28.1
Eusmilus_sicarius,33.9,33.3
Exaeretodon_argentinus,237,227
Exaeretodon_riograndensis,237,227
Exaeretodon_statisticae,237,227
Exmus_mini,55.8,48.6
Galeops_whaitsi,265.1,259.1
Galepus_jouberti,259.1,254.14
Galesaurus_planiceps,251.2,251.2
Gashatostylops_macrodon,58.7,55.8
Gazinocyon_vulpeculus,55.8,50.3
Geikia_elginensis,254.14,251.902
Geikia_locusticeps,254.14,251.902
Gelepus_jouberti,259.1,254.14
Gervachoerus_jaegeri,48.6,40.4
Glanosuchus_macrops,268.8,259.1
Glaucosaurus_megalops,283.5,272.95
Gobiatherium_mirificum,55.8,37.2
Gomphodontosuchus_brasiliensis,237,227
Gordodon_kraineri,298.9,290.1
Gordonia_traquairi,254.14,251.902
Gorgodon_minutus,279.5,268
Gorgonops_dixeyi,258,256
Gorgonops_kaiseri,265,259
Gorgonops_longifrons,259,254
Gorgonops_torvus,259.1,254.14
Gorgonops_whaitsi,259,254
Gorynychus_masyutinae,265.1,254.14
Griphotherion_peiranoi,47.8,41.3
Hadrocodium_wui,191,191
Hapalodectes_hetangensis,55.8,48.6
Haplobunodon_muelleri,47.8,38
Haplolambda_quinni,58.7,55.8
Haptodus_baylei,307,290.1
Haptodus_garnettensis,307,303.7
Harpagolestes_uintensis,46.2,37.2
Harpalodon_sylvestris,46.2,40.4
Hassianycteris_messelensis,52,47.8
Hazhenia_concava,251.902,247.2
Heishanlestes_changi,120,110
Heliscomys_ostranderi,37.2,33.9
Henkelotherium_guimarotae,157.3,152.1
Heptodon_posticus,55.8,46.2
Hesperocyon_gregarius,38,33.9
Hoplophoneus_dakotensis,33.9,28.1
Hoplophoneus_occidentalis,33.9,33.3
Hoplophoneus_primaevus,33.9,33.3
Hoplophoneus_sicarius,33.9,33.3
Huerfanodon_coryphaeus,66,64.6
Huerfanodon_heilprinianus,66,64.6
Hyaenodon_crucians,40.4,33.3
Hyaenodon_horridus,37.2,30.8
Hyaenodon_mustelinus,37.2,33.9
Hyaenodon_paucidens,40.4,33.3
Hyopsodus_wortmani,55.8,46.2
Hypertragulus_calcaratus,37.2,20.43
Hypisodus_minimus,37.2,30.8
Hyrachyus_douglassi,50.3,46.2
Hyrachyus_modestus,55.8,40.4
Hyracodon_priscidens,37.2,33.9
Icaronycteris_menui,56,47.8
Icaronycteris_sigei,56,47.8
Ignacius_graybullianus,58.7,48.6
Indohyaenodon_raoi,56,50.3
Ischyromys_typus,37.2,30.8
Ischyromys_veterior,37.2,33.3
Ischyrotomus_horribilis,50.3,46.2
Ischyrotomus_petersoni,46.2,37.2
Jachaleria_candelariensis,221.5,205.6
Jimusaria_sinkianensis,254.14,251.902
Juramaia_sinensis,163.5,157.3
Kannemeyeria_lophorhinus,251.2,242
Kannemeyeria_simocephala,251.2,242
Kannemeyeria_simocephalus,251.2,242
Kannemeyeria_vjuschkovi,251.2,242
Kannemeyeria_wilsoni,252.2,247.2
Karenites_ornamentatus,265.1,254.14
Karenities_ornamentatus,265.1,254.14
Katumbia_parringtoni,254.14,251.902
Katumbia_parringtonii,254.14,251.902
Kawingasaurus_fossilis,254,254
Kayentatherium_wellesi,199.3,182.7
Kembawacela_kitchingi,259.9,252.2
Kennalestes_gobiensis,76,71
Kennatherium_shirense,48.6,37.2
