Taxon,FAD,LAD
Bathygenys_reevesi,37.2,33.9
Bathygnathus_borealis,290.1,283.5
Bathyopsis_fissidens,55.8,46.2
Batodon_tenuis,70.6,66.043
Bauria_cynops,251.2,242
Bauria_robusta,247.2,242
Beishanodon_youngi,251.2,247.2
Bemalambda_nanhsiungensis,66.043,61.7
Bessoecetor_krausei,61.7,56.8
Bessoecetor_pilodontus,58.7,56.8
Bessoecetor_septentrionalis,64.6,55.8
Betonnia_tsosia,66.043,63.3
Bharattherium_bonapartei,70.6,66.043
Biarmosuchus_spp,268.8,265.1
Biarmosuchus_tener,268.8,265.1
Bienotherium_magnum,199.3,182.7
Bienotherium_minor,201.6,196.5
Bienotherium_spp,201.3,182.7
Bienotherium_yunnanense,201.3,190.8
Bienotheroides_shartegensis,163.5,145
Bienotheroides_spp,168.3,157.3
Bienotheroides_ultimus,163.5,157.3
Bienotheroides_wansienensis,174.1,145
Bienotheroides_zigongensis,168.3,163.5
Biseridens_qilianicus,268.8,265.1
Bishops_whitmorei,122.46,112.6
Bisonalveus_browni,61.7,56.8
Bisonalveus_holtzmani,61.7,56.8
Blarina_brevicauda,1.8,0
Blarina_carolinensis,2.588,0.012
Bobolestes_zenge,99.7,94.3
Bocatherium_mexicanum,190.8,182.7
Bohemiclavulus_mirabilis,304.8,303.4
Bolodon_crassidens,145.5,140.2
Bolodon_elongatus,145.5,140.2
Bolodon_osborni,145.5,140.2
Bolotridon_frerensis,251.2,242
Bonacynodon_schultzi,242,227
Boreogomphodon_jeffersoni,237,227
Borhyaena_tuberata,16.3,15.5
Borisodon_kara,93.5,89.3
Bothriodon_spp,33.9,28.1
Botucaraitherium_belarminoi,227,208.5
BP_1_155,255,255
BP_1_7098,265.1,259.1
Brachyprosopus_broomi,265.1,259.1
Bradypus_tridactylus,0.012,0
Brasilitherium_riograndensis,227,208.5
Brasilodon_quadrangularis,227,208.5
Brasilodon_spp,227,208.5
Brontops_bicornutus,37.2,33.9
Brontops_robustus,37.2,33.9
Brontotherium_platyceras,37.2,33.9
Bryanictis_microlestes,61.7,56.8
Bryanictis_paulus,63.3,61.7
Bulaklestes_kezbe,94.3,89.3
Bulbasaurus_phylloxyron,259.1,254.14
Bullacephalus_jacksoni,265.1,259.1
Bumbanius_rarus,55.8,48.6
Bunaelurus_lagophagus,33.9,15.97
Bunophorus_etsagicus,55.8,50.3
Bunophorus_grangeri,55.8,50.3
Bunophorus_macropternus,55.8,50.3
Burnetia_mirabilis,254.14,251.902
Caenolambda_jepseni,64.6,50.3
Callibrachion_gaudryi,290.1,283.5
Callistoe_vincei,48.6,37.2
Cambaya_complexus,52,47.8
Cambaytherium_bidens,56,47.8
Cambaytherium_thewissi,56,47.8
Candelariodon_barberenai,242,235
Cantius_abditus,55.8,48.6
Cantius_actius,46.2,40.4
Cantius_angulatus,55.8,50.3
Cantius_eppsi,55.8,48.6
Cantius_frugivorus,55.8,50.3
Cantius_mckennai,55.8,50.3
Cantius_nunienus,50.3,46.2
Cantius_ralstoni,55.8,50.3
Cantius_savagei,55.8,48.6
Cantius_simonsi,55.8,50.3
Cantius_torresi,55.8,50.3
Cantius_trigonodus,55.8,48.6
Cantius_venticolus,55.8,46.2
Captorhinus_spp,276,276
Carcinodon_simplex,66,64.6
Carodnia_vieirai,58.7,48.6
Caroloameghinia_mater,48.6,37.2
Caroloameghinia_tenuis,48.6,37.2
Carolocoutoia_ferigoloi,58.7,48.6
Carpolestes_simpsoni,58.7,55.8
Casea_broilii,283.5,272.95
Casea_halselli,290.1,268
Casea_nicholsi,283.5,272.95
Caseoides_sanangeloensis,272.95,268.8
Caseopsis_agilis,272.95,268.8
Castorocauda_lutrasimilis,164.7,161.2
Catopsbaatar_catopsaloides,84.9,70.6
Centetodon_aztecus,40.4,37.2
Centetodon_bacchanalis,50.3,46.2
Centetodon_bembicophagus,50.3,40.4
Centetodon_chadronensis,40.4,33.3
Centetodon_divaricatus,24.8,20.43
Centetodon_hendryi,40.4,33.9
Centetodon_kuenzii,37.2,33.3
Centetodon_magnus,40.4,20.43
Centetodon_marginalis,33.9,33.3
Centetodon_neashami,55.8,50.3
Centetodon_patratus,55.8,50.3
Centetodon_pulcher,46.2,40.2
Centetodon_wolffi,33.3,30.8
Cerdosuchoides_brevidens,259.1,251.902
Ceruttia_sandiegoensis,46.2,40.4
Chacopterygus_minutus,66.043,63.3
Chadronia_margaretae,37.2,33.9
Chaetophractus_vellerosus,0.012,0
Chaetophractus_villosus,2.588,0
Chaliminia_musteloides,227,208.5
Chambius_kasserinensis,55.8,40.4
Charassognathus_gracilis,259.1,254.14
Charruodon_tetracuspidatus,235,205.6
Chiniquodon_sanjuanensis,231.7,225
Chiniquodon_spp,247.2,227
Chiniquodon_theotonicus,235,205.6
Choerosaurus_dejageri,256.5,256.5
Chriacus_badgleyi,55.8,50.3
Chriacus_baldwini,61.7,56.8
Chriacus_calenancus,66.043,63.3
Chriacus_gallinae,55.8,50.3
