Genus_species,Taxon_1,Taxon_2,Genus_FAD,Genus_LAD
Ignacius_graybullianus,,,64.6,48.6
Indohyaenodon_raoi,,,56,50.3
Ischyromys_typus,,,46.2,30.8
Ischyromys_veterior,,,46.2,30.8
Juramaia_sinensis,,,163.5,157.3
Kennalestes_gobiensis,,,93.9,71
Kennatherium_shirense,,,48.6,37.2
Kiyatherium_cardiodens,,,129.4,122
Kopidodon_macrognathus,,,48.6,46
Krebsotherium_lusitanicum,,,157.3,152.1
Kulbeckia_kulbecke,,,93.9,83.5
Labidolemur_kayi,,,61.7,50.3
Lactodens_sheni,,,125,113
Lambdotherium_popoagicum,,,55.8,46.2
Laolestes_eminens,,,161.2,136.4
Lapichiropteryx_xiei,,,48.6,37.2
Leptadapis_magnus,,,41.3,33.9
Leptictidium_nasutum,,,56,33.9
Leptictis_dakotensis,,,40.4,30.8
Leptolambda_churchilli,,,61.7,50.3
Leptomeryx_evansi,,,38,30.8
Leptoreodon_marshi,,,46.2,37.2
Limnocyon_medius,,,50.3,40.4
Limnocyon_velox,,,50.3,40.4
Limnocyon_verus,,,50.3,40.4
Litocherus_notissimus,,,64.6,56.8
Litolestes_ignotus,,,61.7,55.8
Litolophus_gobiensis,,,56,47.8
Lophialetes_expeditus,,,48.6,33.9
Lophiotherium_sp.,,,56,33.9
Lotheridium_mengi,,,70.6,66
Loxolophus_hyattianus,,,66,61.7
Lycophocyon_hutchisoni,,,46.2,37.2
Machaeroides_eothen,,,55.8,46.2
Maelestes_gobiensis,,,76,71
Mahgarita_stevensi,,,46.2,37.2
Maiorana_noctiluca,,,66,64.6
Maotherium_asiaticus,,,127,123.5
Maotherium_sinense,,,126,123
Marcgodinotius_indicus,,,56,50.3
Mayulestes_ferox,,,66,64.6
Megacerops_bicornutus,,,40.4,33.9
Megacerops_coloradensis,,,38,33.9
Megacerops_marshi,,,37.2,33.9
Megacerops_robustus,,,40.4,33.9
Megadelphus_lundeliusi,,,55.8,46.2
Meniscotherium_chamense,,,55.8,48.6
Merycoidodon_culbertsoni,,,37.2,30.8
Mesatirhinus_junius,,,50.3,40.4
Mesatirhinus_megarhinus,,,50.3,40.4
Mesohippus_sp.,,,40.4,30.8
Messelobunodon_ceciliensis,,,47.8,41.3
Metarhinus_fluviatilis,,,46.2,40.4
Metatelmatherium_cristatum,,,48.6,37.2
Metatelmatherium_ultimum,,,48.6,37.2
Metatitan_primus,,,37.2,33.9
Metatitan_relictus,,,37.2,33.9
Miacis_sylvestris,,,56,33.9
Midiagnus_gracilis,,,55.8,48.6
Miguelsoria_parayirunhor,,,55,49
Mimatuta_minuial,,,66,64.6
Miniconus_jeanninae,,,66,64.6
Mixopteryx_weithoferi,,,36,28.4
Moeritherium_lyonsi,,,47.8,28.1
Mongolotherium_plantigradum,,,55.8,48.6
Montanalestes_keeblerorum,,,113,100.5
Mozomus_shikamai,,,122.46,109
Nanodelphys_hunti,,,46.2,24.8
Navajovius_kohlhaasae,,,61.7,56.8
Notharctus_tenebrosus,,,55.8,40.4
Notharctus_venticolus,,,55.8,40.4
Notoparamys_costilloi,,,55.8,50.3
Notopithecus_adapinus,,,55.8,33.9
Notostylops_murinus,,,56,33.9
Notostylops_pendens,,,56,33.9
Oligoryctes_altitalonidus,,,46.2,33.3
Oligoryctes_cameronensis,,,46.2,33.3
Onychodectes_tisonensis,,,66,64.6
Onychonycteris_finneyi,,,55.8,50.3
Origolestes_lii,,,127,123.5
Oxyaena_forcipata,,,58.7,48.6
Oxyaena_gulo,,,58.7,48.6
Oxyaena_lupina,,,58.7,48.6
Oxyaenodon_dysodus,,,46.2,40.4
Pachyaena_gigantea,,,61.7,40.4
Pachyaena_gracilis,,,61.7,40.4
Pachyaena_ossifraga,,,61.7,40.4
Palaeochiropteryx_tupaiodon,,,48.6,38
Palaeolagus_haydeni,,,38,20.43
Palaeonictis_occidentalis,,,56.8,48.6
Palaeonictis_peloria,,,56.8,48.6
Palaeonictis_wingi,,,56.8,48.6
Palaeophyllophora_parva,,,48.6,5.3
Palaeophyllophora_quercyi,,,48.6,5.3
Palaeophyllophora_rosierensis,,,48.6,5.3
Palaeosinopa_didelphoides,,,61.7,48.6
Palaeosinopa_veterrima,,,61.7,48.6
Palaeostylops_macrodon,,,61.7,55.8
Palaeosyops_paludosus,,,55.8,40.4
Palaeosyops_robustus,,,55.8,40.4
Palaeotherium_duvali,,,48.6,28.4
Palaeotherium_magnum,,,48.6,28.4
Palaeotherium_medium,,,48.6,28.4
Palaeotherium_muehlbergi,,,48.6,28.4
Paleotomus_radagasti,,,64.6,55.8
Pantolambda_bathmodon,,,64.6,56.8
Pantolambda_cavirictus,,,64.6,56.8
Pantolestes_natans,,,55.8,33.9
Parabrontops_gobiensis,,,48.6,33.9
Paraceratherium_grangeri,,,37.2,23.03
Paramys_delicatus,,,56.8,33.9
Pararyctes_pattersoni,,,64.6,50.3
Paratriisodon_sp.,,,48.6,37.2
Paromomys_depressidens,,,64.6,56.8
Paroodectes_feisti,,,48.6,46
Paroxacron_valdense,,,38,28.1
Patriofelis_ferox,,,50.3,40.4
Patriofelis_ulta,,,50.3,40.4
Peligrotherium_tropicalis,,,64.6,61.6
Pentacemylus_leotensis,,,46.2,40.4
Peramus_tenuirostris,,,145,139.8
Peratherium_perrierense,,,56,23.03
Perchoerus_probus,,,46.2,30.8
Periptychus_carinidens,,,66,56.8
Periptychus_coarctatus,,,66,56.8
Phascolestes_mustelula,,,145,140.2
Phenacodus_primaevus,,,64.6,46.2
Phenacolemur_pagei,,,61.7,47.8
Pholidocercus_hassiacus,,,48.6,46
Phosphatherium_escuilliei,,,56,47.8
Platychoerops_daubrei,,,59.2,47.8
Plesiadapis_cookei,,,61.7,48.6
Plesiadapis_fodinatus,,,61.7,48.6
Plesiadapis_rex,,,61.7,48.6
Plesiadapis_tricuspidens,,,61.7,47.8
Plesiolestes_problematicus,,,66,56.8
Poebrotherium_sp.,,,37.2,24.8
Praolestes_maximus,,,58.7,55.8
Premonycteris_vesper,,,50.3,47.8
Probathyopsis_harrisorum,,,61.7,48.6
Probathyopsis_praecursor,,,61.7,48.6
Procerberus_formicarum,,,69,61.7
Procynodictis_progressus,,,50.3,40.4
Prodiacodon_paucus,,,66,48.6
Prodiacodon_tauricinerei,,,66,48.6
Prokennalestes_sp.,,,120,112.6
Prolimnocyon_atavus,,,58.7,46.2
Propalaeanodon_schaffi,,,61.7,56.8
Propalaeotherium_sp.,,,56,33.9
Prothryptacodon_ambiguus,,,66,56.8
Protitan_grangeri,,,48.6,33.9
Protitanotherium_emarginatum,,,46.2,33.9
Protoptychus_hatcheri,,,46.2,40.4
Protoreodon_parvus,,,48.6,33.9
Protoreodon_petersoni,,,48.6,33.9
Protoreodon_pumilus,,,48.6,33.9
Protungulatum_donnae,,,69,64.6
Pseudotomus_horribilis,,,50.3,33.9
Pseudotomus_petersoni,,,50.3,33.9
Pseudotomus_robustus,,,50.3,33.9
Psittacotherium_multifragum,,,64.6,56.8
Pterodon_dasyuroides,,,48.6,15.97
Pterodon_hyaenoides,,,48.6,15.97
Pucadelphys_andinus,,,66,64.6
Reithroparamys_delicatissimus,,,56.8,40.4
Reithroparamys_huerfanensis,,,56.8,40.4
Rhinotitan_kaiseni,,,48.6,33.9
Rhinotitan_mongoliensis,,,48.6,33.9
Rhombomylus_turpanensis,,,55.8,48.6
Sarcodon_pygmaeus,,,58.7,55.8
Sarkastodon_mongoliensis,,,48.6,37.2
Sasayamamylos_kawaii,,,112.03,109
Saxonella_crepaturae,,,61.7,56.8
Sciuravus_nitidus,,,55.8,37.2
Sigynorum_magnadivisus,,,66,64.6
Sinclairella_dakotensis,,,40.4,30.8
Sinodelphys_szalayi,,,125.5,122.5
Sinonyx_jiashanensis,,,61.7,55.8
Sinopa_grangeri,,,58.7,40.4
Sinopa_major,,,58.7,40.4
Sinopa_rapax,,,58.7,40.4
Smilodectes_gracilis,,,50.3,46.2
Spalacotherium_tricuspidens,,,145,125.45
Sphenocoelus_uintensis,,,46.2,40.4
