"","Original_Node_Name","Taxon_1","Taxon_2","Min_Date","Genus_LAD"
"328","Spalacotherium_tricuspidens","Spalacotherium_evansae","Spalacotherium_henkeli",145,125.45
"22","Amphitherium_prevostii","Amphitherium_prevostii","Amphitherium_rixoni",167.7,164.7
"183","Maotherium_asiaticus","Maotherium_asiaticus","Maotherium_sinensis",127,123.5
"184","Maotherium_sinense","Maotherium_asiaticus","Maotherium_sinensis",126,123
"98","Elphidotarsius_florencae","Elphidotarsius_florencae","Elphidotarsius_russelli",64.6,56.8
"62","Carpolestes_simpsoni","Carpolestes_dubius","Carpolestes_simpsoni",61.7,55.8
"277","Plesiadapis_cookei","Plesiadapis_cookei","Plesiadapis_rex",61.7,48.6
"278","Plesiadapis_fodinatus","Plesiadapis_cookei","Plesiadapis_rex",61.7,48.6
"279","Plesiadapis_rex","Plesiadapis_cookei","Plesiadapis_rex",61.7,48.6
"280","Plesiadapis_tricuspidens","Plesiadapis_cookei","Plesiadapis_rex",61.7,47.8
"318","Saxonella_crepaturae","Saxonella_crepaturae","Saxonella_naylori",61.7,56.8
"58","Cantius_abditus","Cantius_abditus","Cantius_actius",56,41.3
"59","Cantius_trigonodus","Cantius_abditus","Cantius_actius",56,41.3
"215","Notharctus_tenebrosus","Notharctus_robustior","Notharctus_tenebrosus",55.8,40.4
"216","Notharctus_venticolus","Notharctus_robustior","Notharctus_tenebrosus",55.8,40.4
"162","Leptadapis_magnus","Leptadapis_leenhardti","Leptadapis_magnus",41.3,33.9
"146","Ignacius_graybullianus","Ignacius_clarkforkensis","Ignacius_graybullianus",64.6,48.6
"273","Phenacolemur_pagei","Phenacolemur_praecox","Phenacolemur_simonsi",61.7,47.8
"259","Paromomys_depressidens","Paromomys_depressidens","Paromomys_maturus",64.6,56.8
"92","Dryomomys_szalayi","Dryomomys_szalayi","Dryomomys_willwoodensis",61.7,50.3
"219","Notostylops_murinus","Notostylops_murinus","Notostylops_pendens",56,33.9
"220","Notostylops_pendens","Notostylops_murinus","Notostylops_pendens",56,33.9
"70","Colbertia_magellanica","Colbertia_lumbrerense","Colbertia_magellanica",55,33.9
"343","Tinodon_bellus","Tinodon_bellus","Tinodon_micron",161.2,140.2
