Taxon,FAD,LAD
Moschowhaitsia_vjuschkovi,254.14,251.902
Mupashi_migrator,254,254
Mycterosaurus_longieps,283.5,272.95
Mycterosaurus_longiceps,283.5,272.95
Myosaurus_gracilis,251.902,251.2
Nanictosaurus_kitchingi,259.1,251.902
Nanogomphodon_wildi,242,237
Neosaurus_cynodus,298,290.1
Niassodon_mfumukasi,255,255
Niuksenitia_sukbonensis,259.1,254.14
Niuksenitia_sukhonensis,259.1,254.14
NMQR_1702,259.1,254.14
Nochnitsa_geminidens,265.1,254.14
Nothogomphodon_danilovi,247.2,242
Notosyodon_gusevi,268.8,265.1
Nuurtherium_baruunensis,163.5,145
Odontocyclops_whaitsi,259.1,254.14
Oedaleops_campi,298.9,290.1
Oligokyphus_spp,183,183
Oligokyphus_biserialis,205.6,201.6
Oligokyphus_lufengensis,201.3,190.8
Pristerognathus_polyodon,265.1,254.14
Probainognathus_jenseni,242,237
Proburnetia_viatkensis,265.1,254.14
Procynosuchus_delaharpeae,253,253
Progalesaurus_lootsbergensis,251.902,251.2
Progalesaurus_lootbergensis,251.902,251.2
Prolacerta_broomi,251,251
Promoschorhynchus_platyrhinus,254.14,251.2
Prosictodon_dubei,265.1,259.1
Protheriodon_estudianti,242,227
Protuberum_cabralense,242,227
Protuberum_cabralensis,242,227
Pseudotherium_argentinus,231,231
Prozostrodon_brasiliensis,237,227
Ptomalestes_avidus,265,259
Pyozia_mesenensis,268.8,265.1
Rhadiodromus_spp,247.2,242
Rhadiodromus_klimovi,251.2,242
Rhinodicynodon_gracile,247.2,237
Riebeeckosaurus_longirostris,265.1,259.1
Riograndia_guabiensis,225,225
Riograndia_guaibensis,225,225
Robertia_broomiana,265.1,259.1
Ruberodon_roychowdhurii,237,227
Rubidgea_atrox,259.1,251.902
Taurocephalus_lerouxi,265.1,259.1
Tetraceratops_insignis,283.5,272.95
Tetracynodon_darti,251.902,251.2
Tetracynodon_tenuis,259.1,251.902
Tetragonius_njalilus,247.2,237
Tetragonias_njalilus,247.2,237
Theriognathus_microps,254.14,251.902
Therioherpeton_cargnini,237,227
Thliptosaurus_imperforatus,259,252.3
Traversodontoides_wangwuensis,247.2,242
