"junior" "senior" "rule"
"Sinopa_viverrinus" "Sinopa_grangeri" "rule_2b"
"Achaenodon_uintensis" "Archaeotherium_mortoni" "rule_2b"
"Camelus_dromedarius" "Lama_glama" "rule_2b"
"Ovis_aries" "Bos_taurus" "rule_2b"
"Potamochoerus_porcus" "Sus_scrofa" "rule_2b"
"Petrodromus_tetradactylus" "Rhynchocyon_cirnei" "rule_2b"
"Ambolestes_zhoui" "Sinodelphys_szalayi" "rule_2b"
"Oxyaena_forcipata" "Oxyaena_gulo" "rule_1b"
"Patriofelis_ferox" "Patriofelis_ulta" "rule_1b"
"Varecia_variegata" "Lemur_catta" "rule_2b"
"Peligrotherium_tropicalis" "Cronopio_dentiacutus" "rule_2b"
"Origolestes_lii" "Kiyatherium_cardiodens" "rule_2b"
"Chaetodipus_baileyi" "Chaetodipus_intermedius" "rule_1b"
"Geomys_pinetis" "Thomomys_bottae" "rule_2b"
"Coryphodon_lobatus" "Titanoides_primaevus" "rule_1b"
"Pachyaena_gracilis" "Pachyaena_gigantea" "rule_2b"
"Pachyaena_gracilis" "Pachyaena_ossifraga" "rule_2b"
"Pantolambda_cavirictus" "Pantolambda_bathmodon" "rule_2b"
"Prodiacodon_paucus" "Prodiacodon_tauricinerei" "rule_1b"
"Protochriacus_simplex" "Loxolophus_hyattianus" "rule_2b"
"Thryptacodon_australis" "Thryptacodon_pseudarctos" "rule_1b"
"Hyaenodon_crucians" "Hyaenodon_mustelinus" "rule_1b"
"Hyaenodon_crucians" "Hyaenodon_horridus" "rule_2b"
"Hyaenodon_mustelinus" "Hyaenodon_horridus" "rule_2b"
"Pachyaena_gigantea" "Pachyaena_ossifraga" "rule_2b"
"Loris_tardigradus" "Nycticebus_coucang" "rule_1b"
"Dendrolagus_lumholtzi" "Thylogale_stigmatica" "rule_1b"
"Alphadon_eatoni" "Alphadon_halleyi" "rule_2b"
"Hydrochoerus_hydrochaeris" "Cavia_porcellus" "rule_2b"
"Marmota_monax" "Sciurus_niger" "rule_1b"
"Myocastor_coypus" "Erethizon_dorsatum" "rule_2b"
"Notharctus_venticolus" "Notharctus_tenebrosus" "rule_2b"
"Reithroparamys_delicatissimus" "Reithroparamys_huerfanensis" "rule_1b"
"Palaeosinopa_didelphoides" "Palaeosinopa_veterrima" "rule_1b"
"Icaronycteris_sigei" "Icaronycteris_menui" "rule_2b"
"Cantius_trigonodus" "Cantius_abditus" "rule_2b"
"Notostylops_pendens" "Notostylops_murinus" "rule_2b"
"Canis_lupus" "Canis_mesomelas" "rule_1b"
"Canis_lupus" "Canis_latrans" "rule_2b"
"Canis_mesomelas" "Canis_latrans" "rule_2b"
"Euphractus_sexcinctus" "Chaetophractus_vellerosus" "rule_2b"
"Phascolarctos_cinereus" "Vombatus_ursinus" "rule_2b"
"Rattus_rattus" "Rattus_norvegicus" "rule_2b"
"Baioconodon_wovokae" "Baioconodon_denverensis" "rule_2b"
"Promioclaenus_acolytus" "Promioclaenus_lemuroides" "rule_1b"
"Quettacyon_parachai" "Machocyon_abbasi" "rule_2b"
"Thyrohyrax_domorictus" "Thyrohyrax_meyeri" "rule_1b"
"Tiuclaenus_cotasi" "Tiuclaenus_minutus" "rule_1b"
"Tiuclaenus_cotasi" "Tiuclaenus_robustus" "rule_1b"
"Tiuclaenus_minutus" "Tiuclaenus_robustus" "rule_1b"
"Tricuspiodon_magistrae" "Tricuspiodon_rutimeyer" "rule_1b"
"Tricuspiodon_magistrae" "Tricuspiodon_sobrinus" "rule_1b"
"Tricuspiodon_rutimeyer" "Tricuspiodon_sobrinus" "rule_1b"
"Vulpavus_canavus" "Vulpavus_profectus" "rule_2b"
"Leptadapis_magnus" "Adapis_parisiensis" "rule_2b"
"Periptychus_carinidens" "Periptychus_coarctatus" "rule_2b"
